id,data,categoria,severidade,status,valor_prejuizo,regiao,lat,lon,usuarios_afetados,sistema,setor,duracao_horas,tentativas,ip_origem
1,2024-07-12 02:37:00,Phishing,Crítico,Resolvido,93317.88,Sul,-27.5628,-51.685,1792,Network,Indústria,6.3,288,192.214.112.115
2,2023-06-09 06:48:00,Brute Force,Baixo,Resolvido,4560.77,Sul,-24.2112,-50.2585,793,ERP,Indústria,13.9,136,192.235.63.250
3,2023-07-16 22:04:00,Zero-Day,Crítico,Resolvido,32809.79,Centro-Oeste,-13.4873,-48.7302,2371,Cloud,Saúde,55.4,233,192.189.181.54
4,2023-09-08 05:29:00,Brute Force,Médio,Em Andamento,42214.08,Sudeste,-22.2452,-45.1732,2657,Cloud,Saúde,13.0,109,192.255.202.227
5,2024-03-14 18:25:00,Insider Threat,Crítico,Resolvido,25321.7,Centro-Oeste,-15.5661,-46.4179,386,Mobile,Varejo,41.7,82,192.32.197.98
6,2024-07-03 08:49:00,Insider Threat,Médio,Escalado,30534.86,Sudeste,-21.8183,-45.5127,3562,Database,Varejo,78.2,498,192.54.152.216
7,2024-06-27 00:38:00,Credential Stuffing,Médio,Resolvido,59040.6,Sul,-25.1637,-47.6282,475,Web,Indústria,7.2,41,192.248.35.251
8,2024-06-24 19:27:00,Credential Stuffing,Médio,Resolvido,119901.94,Norte,-0.4189,-62.0092,2554,SCADA,Varejo,11.8,192,192.231.61.64
9,2023-03-14 22:40:00,SQL Injection,Crítico,Resolvido,26075.25,Centro-Oeste,-17.4193,-49.5787,4212,Database,Indústria,5.2,110,192.242.124.201
10,2024-02-25 14:55:00,Insider Threat,Baixo,Resolvido,27995.17,Sudeste,-21.9461,-44.0742,807,Network,Varejo,35.8,99,192.229.71.109
11,2024-07-17 03:03:00,DDoS,Alto,Resolvido,87108.61,Sudeste,-23.2412,-41.0319,121,SCADA,Saúde,41.2,249,192.205.30.43
12,2024-07-23 21:45:00,Zero-Day,Crítico,Resolvido,106464.54,Norte,-4.3885,-58.8205,1784,ERP,Varejo,26.8,30,192.244.80.15
13,2024-02-18 03:56:00,Credential Stuffing,Crítico,Resolvido,154828.88,Centro-Oeste,-18.3922,-45.7291,326,Cloud,Educação,28.6,299,192.104.160.62
14,2023-03-16 00:29:00,Brute Force,Alto,Em Andamento,77955.99,Nordeste,-8.3567,-32.3259,820,Database,Educação,7.9,136,192.35.125.95
15,2024-10-31 16:00:00,Brute Force,Alto,Pendente,95703.76,Nordeste,-7.4299,-31.9766,849,Network,Indústria,22.8,310,192.175.104.176
16,2023-10-11 01:00:00,Brute Force,Médio,Resolvido,14850.41,Sudeste,-25.3462,-43.6585,2146,Mobile,Varejo,7.1,362,192.4.57.20
17,2023-02-12 09:23:00,DDoS,Médio,Pendente,9943.79,Centro-Oeste,-15.4848,-48.3213,843,Mobile,Varejo,11.4,448,192.79.121.222
18,2023-12-07 13:51:00,DDoS,Baixo,Pendente,24741.2,Norte,-5.9513,-58.5806,2033,Mobile,Telecomunicações,3.1,56,192.19.240.57
19,2023-08-17 00:42:00,SQL Injection,Baixo,Resolvido,2580.09,Nordeste,-6.1768,-32.6721,569,Mobile,Indústria,61.0,329,192.169.14.30
20,2023-12-20 23:50:00,Brute Force,Alto,Escalado,16632.31,Nordeste,-10.8705,-34.3206,4190,Network,Educação,16.0,413,192.220.35.243
21,2023-11-13 21:26:00,Man-in-the-Middle,Médio,Em Andamento,6756.39,Sudeste,-21.5815,-44.3981,4542,Mobile,Indústria,6.7,482,192.89.154.104
22,2024-11-01 10:29:00,Credential Stuffing,Baixo,Resolvido,4566.82,Sul,-25.8207,-48.8201,4188,Database,Indústria,12.6,408,192.43.145.132
23,2023-07-23 04:01:00,Man-in-the-Middle,Crítico,Escalado,296234.18,Sul,-24.3632,-50.9522,3731,Mobile,Governo,13.5,100,192.204.124.38
24,2024-12-13 16:29:00,Ransomware,Baixo,Pendente,1925.16,Sudeste,-21.2295,-44.887,995,Cloud,Telecomunicações,13.8,342,192.226.218.213
25,2024-10-14 08:49:00,Credential Stuffing,Alto,Resolvido,133551.41,Norte,-3.3996,-58.4893,1960,Network,Educação,13.2,147,192.171.163.229
26,2023-03-07 13:26:00,Credential Stuffing,Crítico,Resolvido,57386.14,Norte,-1.9363,-58.7615,511,ERP,Telecomunicações,8.4,464,192.194.244.2
27,2024-09-09 07:31:00,Man-in-the-Middle,Alto,Resolvido,15824.54,Norte,-2.8707,-58.5922,238,Mobile,Indústria,11.3,409,192.84.239.236
28,2023-03-27 20:27:00,DDoS,Baixo,Resolvido,1640.62,Norte,-2.5486,-59.022,412,Cloud,Educação,10.9,233,192.194.142.193
29,2023-12-25 07:41:00,Zero-Day,Alto,Resolvido,1732.25,Sudeste,-21.4059,-45.8875,1249,Network,Governo,8.6,59,192.131.188.43
30,2023-11-16 18:43:00,Phishing,Médio,Resolvido,84509.76,Nordeste,-10.4514,-37.7459,1625,E-mail,Telecomunicações,25.6,396,192.61.21.89
31,2024-03-06 15:06:00,Credential Stuffing,Alto,Resolvido,35546.04,Centro-Oeste,-14.9147,-50.8241,3767,E-mail,Varejo,37.7,376,192.247.238.112
32,2024-04-20 18:39:00,Brute Force,Alto,Resolvido,74228.41,Sudeste,-24.2264,-43.4952,4050,Cloud,Telecomunicações,41.9,109,192.132.174.72
33,2024-05-15 17:48:00,Brute Force,Médio,Resolvido,7939.71,Sul,-27.8863,-47.9796,4021,Network,Governo,18.3,151,192.124.156.170
34,2023-12-27 22:29:00,Man-in-the-Middle,Médio,Resolvido,11731.38,Norte,-0.1202,-59.6977,989,Database,Saúde,35.0,381,192.110.247.71
35,2023-11-06 00:45:00,Credential Stuffing,Médio,Escalado,24266.07,Sul,-26.6225,-50.1347,447,SCADA,Financeiro,27.2,65,192.6.145.121
36,2023-04-27 02:25:00,Insider Threat,Alto,Resolvido,42318.42,Sudeste,-24.3851,-41.0297,440,Network,Telecomunicações,7.6,214,192.194.230.233
37,2024-09-16 23:06:00,Insider Threat,Alto,Em Andamento,7640.78,Norte,-4.2677,-59.2738,1287,ERP,Governo,7.4,81,192.230.240.75
38,2023-09-28 20:37:00,Ransomware,Alto,Em Andamento,31406.38,Norte,-5.6729,-61.5995,1221,E-mail,Governo,5.4,292,192.63.239.177
39,2024-09-04 01:56:00,Brute Force,Médio,Escalado,17917.24,Centro-Oeste,-15.5601,-48.2734,2052,ERP,Telecomunicações,171.4,301,192.137.20.196
40,2024-10-12 15:05:00,DDoS,Médio,Em Andamento,19843.9,Nordeste,-10.0111,-34.388,2631,Mobile,Indústria,156.3,169,192.253.147.170
41,2023-04-29 12:55:00,Zero-Day,Baixo,Em Andamento,82882.64,Norte,-5.5716,-61.4856,4445,Cloud,Varejo,18.7,266,192.255.226.195
42,2023-05-05 00:40:00,Ransomware,Alto,Resolvido,59146.85,Nordeste,-8.4713,-33.7105,1298,Web,Governo,16.4,431,192.60.78.128
43,2024-07-18 04:24:00,Brute Force,Médio,Resolvido,4492.54,Norte,-0.2185,-61.5376,1119,Mobile,Educação,47.6,405,192.136.1.73
44,2024-05-10 11:21:00,Brute Force,Baixo,Em Andamento,8350.85,Norte,-0.9084,-60.3207,3731,ERP,Educação,5.0,211,192.242.195.99
45,2023-04-13 14:06:00,DDoS,Médio,Resolvido,24303.44,Centro-Oeste,-13.0079,-48.908,1181,Web,Governo,12.8,80,192.135.173.160
46,2024-05-14 17:02:00,Zero-Day,Médio,Pendente,30211.9,Centro-Oeste,-16.5199,-49.0,2355,Web,Governo,17.7,325,192.85.153.232
47,2023-09-08 16:26:00,Ransomware,Crítico,Pendente,211838.57,Nordeste,-8.9492,-35.3159,1393,Network,Governo,4.8,196,192.73.118.119
48,2023-06-11 02:28:00,Brute Force,Médio,Em Andamento,45310.89,Norte,-0.6927,-58.9343,2475,Web,Saúde,8.7,248,192.195.183.148
49,2024-12-03 23:03:00,Brute Force,Baixo,Resolvido,13812.76,Norte,-4.4531,-59.6044,2887,Database,Indústria,11.1,129,192.49.20.80
50,2024-03-01 05:12:00,Insider Threat,Crítico,Resolvido,21276.6,Sul,-27.8592,-50.5293,2998,Database,Educação,37.0,426,192.246.151.192
51,2024-11-23 23:43:00,Man-in-the-Middle,Baixo,Resolvido,17759.74,Sudeste,-25.0555,-40.401,3233,E-mail,Varejo,15.8,345,192.195.190.28
52,2024-10-25 02:40:00,SQL Injection,Médio,Em Andamento,11067.72,Centro-Oeste,-16.832,-47.2395,1146,SCADA,Educação,7.5,199,192.214.79.227
53,2023-02-03 22:23:00,Zero-Day,Médio,Pendente,7722.22,Centro-Oeste,-16.3513,-45.1909,1935,Cloud,Financeiro,40.4,331,192.203.141.49
54,2024-09-03 00:03:00,Phishing,Baixo,Pendente,14422.45,Sudeste,-21.9234,-42.3498,1032,Network,Varejo,37.3,425,192.110.119.85
55,2023-05-14 17:16:00,DDoS,Médio,Em Andamento,43933.24,Nordeste,-5.9496,-37.0319,212,Network,Varejo,7.5,404,192.165.8.45
56,2024-04-04 11:32:00,Brute Force,Crítico,Em Andamento,156578.06,Centro-Oeste,-18.1181,-50.5187,1815,ERP,Financeiro,21.5,494,192.245.205.110
57,2023-06-01 02:08:00,Phishing,Médio,Escalado,6233.67,Sudeste,-20.5044,-44.2673,4493,E-mail,Governo,36.2,306,192.220.50.204
58,2024-04-07 07:26:00,Phishing,Baixo,Em Andamento,3602.18,Centro-Oeste,-14.475,-49.6099,3408,E-mail,Educação,35.6,161,192.78.242.18
59,2023-05-14 17:03:00,Phishing,Baixo,Resolvido,9917.3,Sudeste,-21.4325,-43.9641,2701,Mobile,Telecomunicações,33.0,448,192.26.147.154
60,2023-04-21 11:54:00,Brute Force,Alto,Em Andamento,50212.11,Sul,-27.4716,-49.4069,2283,ERP,Varejo,38.8,433,192.136.14.47
61,2023-05-27 18:42:00,Brute Force,Médio,Resolvido,17361.02,Nordeste,-8.9939,-36.8116,252,Mobile,Governo,4.5,193,192.174.80.95
62,2023-06-09 05:48:00,Brute Force,Médio,Pendente,46353.69,Centro-Oeste,-15.2227,-45.5999,2230,SCADA,Governo,17.0,311,192.139.110.194
63,2024-06-23 21:19:00,Credential Stuffing,Crítico,Resolvido,23434.3,Nordeste,-7.0307,-34.3412,4910,ERP,Governo,38.0,62,192.220.89.34
64,2023-03-15 12:55:00,Zero-Day,Médio,Resolvido,53306.27,Centro-Oeste,-13.7999,-46.0628,3767,Mobile,Educação,27.2,364,192.58.207.6
65,2023-04-01 13:54:00,Man-in-the-Middle,Alto,Escalado,10460.37,Norte,-1.1078,-57.4814,3281,Cloud,Saúde,21.5,159,192.170.86.20
